id;name;barcode;price
188;VIP Gold café instantané;6111250470209;0.00
218;VIP crema gold café instantané;6111250473453;0.00
242;شاي النسمة;6111243640831;0.00
142;قهوة الطبيب;6111175000741;0.00
134;Atun;8410111211202;0.00
262;Capri choco;6111249960964;0.00
200;Cheeslé Blanc nature;6111259093102;0.00
276;Crempro;6111259090415;0.00
399;Danone max;6111032009429;0.00
420;Daya Ananas Coco;6111126004538;0.00
446;Extrem;6111259344501;0.00
477;Halls Plain Hard Candy - Extra Strong Flavor;7622201695323;0.00
491;Indomie;5285000397465;0.00
75;KING COOKIES;6111259343108;0.00
241;Krit krititas galletas saladas;8434165466333;0.00
436;La prairie classique;6111203001474;0.00
135;Levure rafiaa;6111246250013;0.00
464;Luncheon;6111259091665;0.00
415;MARG FAMILIA 400G;6111037000643;0.00
328;MARG VITAL OVAL PF 200G;6111203005014;0.00
427;Magnesium;4058172309250;0.00
250;Margarine patissière;6111037000506;0.00
383;Matina;6111243570169;0.00
116;Mayfine;6111180003102;0.00
180;Muscly la force pour grandir;6111242101272;0.00
219;Nouilles Instantanées Goût Boeuf;5285000396437;0.00
249;Petits fours financiers;6923818881323;0.00
451;Pringles Sare;5053990101573;0.00
640;Produit congelé;;0.00
532;Produit pâtisserie en poudre;;0.00
537;Produit pâtisserie en poudre;;0.00
224;SALIM LBEN 440G;6111032009924;0.00
333;Sport;6111126005719;0.00
403;Supreme Original;6111259346710;0.00
384;Tartine & Cuisine;6111099005488;0.00
248;Vegetal;5410093179616;0.00
138;flan caram jao dan;6111242102019;0.00
21;levure pâtisserie;6111180000231;0.00
109;margarine;6111203007513;0.00
252;margarine la prairie 225g;6111203001467;0.00
433;margarine vital 400 g;6111203005021;0.00
468;pringles hot & spicy;5053990101542;0.00
442;top cookies original;6111259341494;0.00
459;سكر النمر;6111029000491;0.00
50;شييزلي;6111259093096;0.00
255;قلوتي;6111032007661;0.00
351;Aicha Double Concentré De Tomates 140 G;6111021022002;0.00
592;Aicha Tomates;;0.00
650;Aicha Tomates;;0.00
186;Aicha Tomato Paste;6111021090056;0.00
166;Concentré de tomates Aicha;6111021090049;0.00
430;Danino;6111032008446;0.00
409;Delicia 200 g;6111162001416;0.00
157;Delicia double concentre de tomates;6111162001201;0.00
253;Double concentré de tomates;6111021026000;0.00
272;Double concentré de tomates;6111021090100;0.00
423;Double concentré de tomates;6111162001553;0.00
457;Dtink happy ana;6923815199025;0.00
277;Lio produit;6111099000605;0.00
536;Mutti Passata / Tomates;;0.00
453;Pulmes bulles d’orange;6111035001987;0.00
38;Sel de table iodé;6111184001562;0.00
520;Sella Tomates;;0.00
496;Solis;8445291209039;0.00
176;jempo;7322540548563;0.00
372;pickers crunchy;6111259347625;0.00
661;Marrakech Épices;;0.00
508;Persil;;0.00
585;Widad Basilic;;0.00
551;Épice;;0.00
571;Épice / Harissa;;0.00
